1,2866,Fixed-rate,1069267,1994,2009,2069267
2,1909,Cashout,803331,2006,2021,1803331
3,185,Fixed-rate,988115,2002,2017,1988115
4,1633,Cashout,648309,2010,2025,1648309
5,57,Fixed-rate,694534,2021,2036,1694534
6,2908,Cashout,496882,2011,2026,1496882
7,1708,Fixed-rate,426329,1997,2012,1426329
8,2109,Fixed-rate,247411,1999,2014,1247411
9,2467,Cashout,122690,2002,2017,1122690
10,3492,Fixed-rate,614783,2007,2022,1614783
11,2864,Fixed-rate,750984,2006,2021,1750984
12,668,Cashout,913881,2016,2031,1913881
13,2462,Cashout,360321,2014,2029,1360321
14,1056,Fixed-rate,972485,2011,2026,1972485
15,1636,Fixed-rate,348111,2018,2033,1348111
16,882,Cashout,980422,1999,2014,1980422
17,1754,Fixed-rate,1062852,2013,2028,2062852
18,7605,Cashout,563096,2009,2024,1563096
19,322,Fixed-rate,231729,2017,2032,1231729
20,3599,Cashout,911081,1993,2008,1911081
21,394,Cashout,690103,2021,2036,1690103
22,628,Fixed-rate,498908,2011,2026,1498908
23,2096,Fixed-rate,307092,1998,2013,1307092
24,1683,Cashout,303794,2010,2025,1303794
25,2499,Fixed-rate,989050,1994,2009,1989050
26,1854,Cashout,922142,1997,2012,1922142
27,6125,Fixed-rate,599316,2018,2033,1599316
28,2281,Cashout,499809,2001,2016,1499809
29,2647,Fixed-rate,679014,2002,2017,1679014
30,922,Fixed-rate,833866,1999,2014,1833866
31,1767,Fixed-rate,567327,2019,2034,1567327
32,1946,Cashout,760254,2019,2034,1760254
33,2502,Fixed-rate,801361,2007,2022,1801361
34,286,Cashout,1020181,2012,2027,2020181
35,390,Cashout,638863,2008,2023,1638863
36,1528,Fixed-rate,192324,2009,2024,1192324
37,6965,Fixed-rate,1005259,2006,2021,2005259
38,1448,Fixed-rate,659013,2008,2023,1659013
39,2370,Fixed-rate,382548,1995,2010,1382548
40,1551,Fixed-rate,1029092,2002,2017,2029092
41,274,Fixed-rate,746624,2016,2031,1746624
42,2584,Fixed-rate,675491,2012,2027,1675491
43,1185,Fixed-rate,594261,2009,2024,1594261
44,2173,Cashout,104310,2003,2018,1104310
45,1936,Cashout,987703,1995,2010,1987703
46,2877,Cashout,142264,2018,2033,1142264
47,733,Fixed-rate,735889,2004,2019,1735889
48,1931,Fixed-rate,804094,2002,2017,1804094
49,2814,Fixed-rate,996300,2005,2020,1996300
50,97,Fixed-rate,980341,2014,2029,1980341
51,2418,Cashout,564849,2007,2022,1564849
52,1202,Fixed-rate,516203,2009,2024,1516203
