1,1614,Fixed-rate,1090484,1997,2012,2090484
2,1836,Fixed-rate,604873,2010,2025,1604873
3,697,Cashout,1002178,2018,2033,2002178
4,1994,Cashout,264606,2013,2028,1264606
5,1126,Fixed-rate,1006098,1995,2010,2006098
6,1543,Fixed-rate,793761,2019,2034,1793761
7,2710,Cashout,849229,2017,2032,1849229
8,290,Cashout,640643,2005,2020,1640643
9,348,Fixed-rate,306554,2012,2027,1306554
10,1691,Fixed-rate,876279,2002,2017,1876279
11,2491,Fixed-rate,570380,2000,2015,1570380
12,430,Fixed-rate,937221,2013,2028,1937221
13,2831,Cashout,486374,1998,2013,1486374
14,1885,Fixed-rate,369379,2021,2036,1369379
15,7925,Fixed-rate,1104031,2020,2035,2104031
16,569,Cashout,788197,2017,2032,1788197
17,2876,Cashout,1071488,2016,2031,2071488
18,3766,Fixed-rate,1020332,2005,2020,2020332
19,6845,Cashout,639911,1999,2014,1639911
20,2699,Fixed-rate,486052,2007,2022,1486052
21,405,Cashout,139078,1994,2009,1139078
22,2076,Cashout,338194,1999,2014,1338194
23,3931,Fixed-rate,322082,2009,2024,1322082
24,3330,Cashout,885428,2004,2019,1885428
25,662,Cashout,471481,2013,2028,1471481
26,263,Cashout,656936,2008,2023,1656936
27,1246,Cashout,996250,2004,2019,1996250
28,838,Fixed-rate,1024930,2003,2018,2024930
29,2856,Cashout,1103516,1997,2012,2103516
30,975,Fixed-rate,275564,1999,2014,1275564
31,2002,Cashout,549007,2006,2021,1549007
32,502,Cashout,901529,1998,2013,1901529
33,3469,Fixed-rate,418068,2001,2016,1418068
34,223,Fixed-rate,456721,2017,2032,1456721
35,3827,Cashout,764586,1998,2013,1764586
36,2808,Cashout,173152,2020,2035,1173152
37,803,Fixed-rate,598266,2004,2019,1598266
38,2561,Fixed-rate,1095307,2008,2023,2095307
39,2642,Cashout,914351,2010,2025,1914351
40,1084,Fixed-rate,491684,2017,2032,1491684
41,329,Fixed-rate,942174,2018,2033,1942174
42,452,Cashout,668033,2019,2034,1668033
43,2657,Cashout,744110,2010,2025,1744110
44,3771,Cashout,274209,2003,2018,1274209
45,1422,Cashout,317257,1994,2009,1317257
46,1432,Fixed-rate,967387,2002,2017,1967387
47,213,Fixed-rate,274339,2004,2019,1274339
48,2171,Cashout,421352,2015,2030,1421352
49,1597,Fixed-rate,996434,1999,2014,1996434
50,1598,Cashout,239502,1996,2011,1239502
